[2025-10-05 17:26:23,559] 17 root -INFO - Initiate data ingestion 
[2025-10-05 17:26:32,875] 65 root -INFO - Performed train test split on the dataframe
[2025-10-05 17:26:32,875] 67 root -INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-10-05 17:26:32,876] 75 root -INFO - Exporting train and test file path.
[2025-10-05 17:26:32,952] 84 root -INFO - Exported train and test file path.
[2025-10-05 17:26:32,952] 19 root -INFO - Data initiation completed
[2025-10-05 17:26:32,964] 24 root -INFO - Initiate data validation
[2025-10-05 17:26:33,086] 31 root -INFO - Required number of columns:2
[2025-10-05 17:26:33,088] 32 root -INFO - Data frame has columns:31
[2025-10-05 17:26:33,088] 31 root -INFO - Required number of columns:2
[2025-10-05 17:26:33,088] 32 root -INFO - Data frame has columns:31
[2025-10-05 17:26:33,304] 26 root -INFO - data validation completed
[2025-10-05 17:26:33,304] 29 root -INFO - data Transformation started
[2025-10-05 17:26:33,304] 63 root -INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-10-05 17:26:33,305] 65 root -INFO - Starting data transformation
[2025-10-05 17:26:33,350] 48 root -INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-10-05 17:26:33,351] 53 root -INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-10-05 17:26:33,370] 43 root -INFO - Entered the save_object method of MainUtils class
[2025-10-05 17:26:33,373] 47 root -INFO - Exited the save_object method of MainUtils class
[2025-10-05 17:26:33,373] 43 root -INFO - Entered the save_object method of MainUtils class
[2025-10-05 17:26:33,377] 47 root -INFO - Exited the save_object method of MainUtils class
[2025-10-05 17:26:33,378] 63 root -INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-10-05 17:26:33,378] 65 root -INFO - Starting data transformation
[2025-10-05 17:26:33,413] 48 root -INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-10-05 17:26:33,413] 53 root -INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-10-05 17:26:33,433] 43 root -INFO - Entered the save_object method of MainUtils class
[2025-10-05 17:26:33,436] 47 root -INFO - Exited the save_object method of MainUtils class
[2025-10-05 17:26:33,437] 43 root -INFO - Entered the save_object method of MainUtils class
[2025-10-05 17:26:33,440] 47 root -INFO - Exited the save_object method of MainUtils class
[2025-10-05 17:26:33,441] 34 root -INFO - data transformation completed
[2025-10-05 17:26:33,441] 36 root -INFO - Model Training started
[2025-10-05 17:26:50,249] 43 root -INFO - Entered the save_object method of MainUtils class
[2025-10-05 17:26:50,251] 47 root -INFO - Exited the save_object method of MainUtils class
[2025-10-05 17:26:50,251] 43 root -INFO - Entered the save_object method of MainUtils class
[2025-10-05 17:26:50,293] 47 root -INFO - Exited the save_object method of MainUtils class
[2025-10-05 17:26:50,293] 139 root -INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\10_05_2025_17_26_19\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9907209136331192, precision_score=0.9904179408766565, recall_score=0.9910240718074256), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9785714285714285, precision_score=0.974703557312253, recall_score=0.9824701195219123))
[2025-10-05 17:26:50,297] 41 root -INFO - Model Training artifact created 
